
ঁ চনদ্রোবিনদু
বসত বোশতো
বসব বোশবো
বসল বোশলো
বসলাম বোশলাম
বসলেন বোশলেন
বসেছিল বোশেছিলো
বহবাড়মবর বওভাড়মবর
বহমান বহোমান
বহির্গমন বোহিরগমোন
বহির্জগৎ বোহিরজগোত
বহ্ণি বোনহি
বাঁচলাম বাচলাম
বাঁচাব বাচাবো
বাঁধতে বাধতে
বাঁধলেন বাধলেন
বাকস্ফূর্তি বাকসফুরতি
বাজতে বাজতে
বাজল বাজলো
বানাল বানালো
বারান্দা বারানদা
বাষ্পীয় বাশপিয়ো
বাহাত্তর বাহাততোর
বাহ্বাস্ফোট বাওভাশোফাট
বাৎসরিক বাতশোরিক
বিক্ষত বিকখত
বিখ্যাত বিকখাতো
বিচ্যুত বিচচুতো
বিজ্ঞপ্তি বিগগোপতি
বিজ্ঞান বিগগ১ন
বিতরণ বিতরোন
বিদঘুটে বিদঘুটে
বিদিত বিদিতো
বিদ্ধান বিদদান
বিধ্রুপ বিদদ্রুপ
বিন্যস্ত বিননসতো
বিপ্রকর্ষণ বিপপ্রোকরশোন
বিবর্জিত বিবোরজিতো
বিবৃত বিবৃতো
বিবেচনায় বিবেচোনায়
বিষহরী বিশোহোরি
বিষাক্ত বিশাকতো
বিসমিল্লা বিসমিললা
বিসর্গ বিশোরগো
বিস্কুট বিসকুট
বিস্কুটের বিসকুটের
বিস্ফোরণ বিশফোরোন
বিস্ময় বিশশয়
বিস্ময়ে বিশশয়এ
বিড়ম্বনা বিড়োমবনা
বুঝব বুঝবো
বুঝলি বুঝলি
বুঝেছ বুঝেছো
বুদ্বুদ বুদবুদ
বৃষ ব্রিশ
বৃহস্পতিবার ব্রিহোশপোতিবার
বেকারি বেকারি
বেকারিতে বেকারিতে
বেকারির বেকারির
বেঙ্গমা ব১ঙগোমা
বেঞ্চ বেনচ
বেডে বেডে
বেতগুলি ব১তগুলি
বেতস বেতস
বেদ বেদ
বেল্ট বেল-ট$
বেল্টগুলি বেল-ট-গুলি$
বেল্টটা বেল-ট-টা$
বেসিক বেছিক
বৈজ্ঞানিক বোইগগানিক
বৌল বোউল
ব্যবস্থা ব১বোসথা
ব্যবহার ব১বোহার
ব্যাঙের ব১ঙ-এর$
ব্যালট ব১লোট
ব্রত ব্রোতো
বৎসর বতশোর
বড় বরো
বড়শি বোরশি
বয়োজ্যেষ্ঠ বয়োজজেশঠো
ভদ্রঘরের ভদ-দ্রো-ঘরের$
ভদ্রলোকের ভদ-দ্রো-লোকের$
ভাবখানা ভাবখানা
ভাবছি ভাবছি
ভাবছিলাম ভাবছিলাম
ভাবতে ভাবতে
ভাবনা ভাবনা
ভাববে ভাববে
ভাবভঙ্গি ভাবভোঙগি
ভিজল ভিজলো
ভিতরে ভিতোরে
ভুলব ভুলবো
ভয়াবহ ভয়াবহো
মই মোই
মইয়ের মোইয়ের
মধ্যাহ্ন মোদধানহো
মনমরা মন-মরা$
মন্ত্রী মোনত্রি
মরতে মোরতে
মরবি মোরবি
মরবে মোরবে
মসনদ মসনদ
মসৃণ মোস্রিন
মাঝখানে মাঝখানে
মাঝখানের মাঝখানের
মাঝরাতে মাঝরাতে
মাথাব্যথা মাথাব১থা
মানুষগুলিও মানুশগুলিও
মানুষজনের মানুশ-জনের$
মানুষটির মানুশটির
মারছিল মারছিলো
মারছে মারছে
মারতে মারতে
মারপিট মারপিট
মারপিটও মারপিটও
মারপিটে মারপিটে
মারপিটের মারপিটের
মারব মারবো
মারবি মারবি
মারবে মারবে
মারল মারলো
মারলাম মারলাম
মার্চ মার-চ$
মালসামান মালশামান
মাসুম মাসুম
মাসুমের মাসুমের
মিশন মিশোন
মুখস্থ মুখোসথো
মুচকি মুচকি
মুচমুচে মুচমুচে
মুরগি মুরগি
মুসলমান মুসোলমান
মুসলমানের মুসোলমানের
মুসলিম মুসলিম
মুহম্মদের মুহম-মদের$
মেঘ মেঘ
মেঘদূত মেঘদুত
মেঘলা মেঘোলা
মেজর মেজোর
মেজাজ মেজাজ
মেনকা মেনকা
মেরেছিল মেরেছিলো
মেরো মেরো
মেলা মেলা
মেসোমশাইকে মেশো-মশাইকে$
মোটরসাইকেল মোটরসাইকেল
মোটরসাইকেলে মোটরসাইকেলে
মোল্লা মোললা
মোহাম্মদের মোহাম-মদের$
ম্যাজম্যাজ ম১জ-ম১জ$
ম্যাজিস্ট্রেট ম১জিস-ট্রে-ট$
ময়দা ময়দা
ময়দানে ময়দানে
ময়লা ময়লা
মনে মোনে
যকৃৎ যোকৃত
যত জতো
যাচ্ছিল জাচছিলো
যাব জাবো
যাসনে জাশনে
যায়নি জায়নি
যূপকাষ্ঠ জুপোকাশঠো
যেখানে জেখানে
যেখানেই জেখানেই
যেটা জেটা
যেটাই জেটাই
যেটাকে জেটাকে
যেত জেতো
যেন জ১নো
যেভাবে জেভাবে
যেসব জেশোব
যৌবন জোউবোন
রইল রইলো
রক্ষণশীল রোকখোনশিল
রক্ষিত রোকখিতো
রঞ্জক রনজক
রত রতো
রদবদল রদ-বদোল$
রবার্ট রবার-ট$
রাখত রাখতো
রাখতে রাখতে
রাখব রাখবো
রাখবি রাখবি
রাখবে রাখবে
রাখলাম রাখলাম
রাখলেই রাখলেই
রাখলেও রাখলেও
রাজনীতি রাজনিতি
রাজনীতির রাজ-নিতির$
রাজনৈতিক রাজনোইতিক
রাজপুত্র রাজপুতত্রো
রাজমিস্ত্রি রাজমিসত্রি
রাজহংস রাজহঙশো
রাজাকারগুলি রাজাকারগুলি
রাজাকারটি রাজাকারটি
রাজাকারটির রাজাকারটির
রিপোর্ট রিপোর-ট$
রুপান্তর রুপানতর
রেখেছিল রেখেছিলো
রেখো রেখো
রেজিস্ট্রারের রেজিশটারের
রেবতি রেবতি
রেবতী রেবতি
রোমন্থন রোমনথোন
রোমান্টিক রোমানটিক
লক্কড় লককোড়
লক্ষ্য লোকখো
লক্ষ্যভ্রষ্ট লোকখোভ্রোশটো
লজেন্স লজেন-স$
লজেন্সের লজেনসের
লন্ড্রি লোনড্রি
লভ্য লোবভো
লম্পট লমপোট
লাগছিল লাগছিলো
লাগছে লাগছে
লাগতে লাগতে
লাগতেই লাগতেই
লাগবে লাগবে
লাগল লাগলো
লাগলাম লাগলাম
লাগলে লাগলে
লাগলেন লাগলেন
লালচে লালচে
লাশকাটা লাশকাটা
লিখবি লিখবি
লিখেছ লিখেছো
লিটমাস লিটমাছ
লিস্ট লিশ-ট$
লিস্টটা লিশ-ট-টা$
লেকচার লেকচার
লেখক লেখক
লেখ্য লেকখো
লেগেছিল লেগেছিলো
লোকগুলি লোকগুলি
লোকজন লোকজন
লোকজনকে লোকজনকে
লোকজনের লোক-জনের$
লোকটা লোকটা
লোকটাকে লোকটাকে
লোকটার লোকটার
লোকটি লোকটি
লোকটিকে লোকটিকে
লোকনাথ লোকনাথ
লোকসভা লোকসভা
শঙ্কর শঙকর
শত শতো
শবনম শবনম
শরিফ শোরিফ
শহরগুলি শহোরগুলি
শাঁসটা শাশটা
শার্ট শার-ট$
শার্টটা শার-ট-টা$
শিক্ষণ শিকখন
শিখল শিখলো
শিবরাত্রি শিবরাতত্রি
শিরশির শির-শির$
শুনছ শুনছো
শুনছিলেন শুনছিলেন
শুনব শুনবো
শুনল শুনলো
শুনেছ শুনেছো
শৃঙ্খলা স্রিঙখোলা
শৃঙ্গ স্রিঙগো
শেখ শেখ
শেখর শেখর
শেখা শেখা
শেষ শেশ
শেষবার শেশবার
শেষবারের শেশবারের
শৈশবসৃতি শোইশবস্রিতি
শোধিত শোধিতো
শ্মশান শশান
শ্যালক শ১লোক
শ্রদ্ধেয় স্রোদধেয়
শয়তান শয়তান
ষোল শোলো
ষোড়শ শোড়োশ
সংক্ষিপ্ত শঙখিপতো
সংখ্যা শঙখা
সংগ্রহ শঙগ্রোহো
সংগ্রাম শঙগ্রাম
সংবরণ শঙবরোন
সংবিৎ শঙবিতো
সংবেদনশীল শঙবেদোনশিল
সংব্ররত শঙবব্ররতো
সংরক্ষণশীল শঙরোকখোনশিল
সংস্কৃত শঙশক্রিতো
সওগাত সওগাত
সকৃতজ্ঞ শক্রিতোগগো
সক্রিতজ্ঞ শক্রিতগগো
সক্ষম শকখোম
সগুণ সগুন
সগুন শগুন
সঙ্কট শঙকট
সঙ্কলন শঙকলোন
সঙ্কলিত শঙকোলিতো
সঙ্গত শঙগতো
সচিত্র শচিতত্রো
সজীব শজিব
সজ্ঞান শগগ১ন
সঞ্চিত শোনচিতো
সঞ্চয় শনচয়
সটীক শটিক
সঠিক শঠিক
সতীর্থ শতিরথো
সতৃষ্ণ শত্রিশনো
সতের শতেরো
সত্তর শোততোর
সত্বর শততোর
সদ্ব্যবহার শদব১বোহার
সধূম শধুম
সধূ্ম শধুম
সন্তুষ্ট শনতুশটো
সন্ধিহান শোনদিহান
সন্নিকট শননিকট
সন্নিধান শননিধান
সন্নিপাত শননিপাত
সন্নিহিত শননিহিতো
সন্ন্যাস শোননাশ
সন্ন্যাসী শোননাশি
সপুত্রক শপুতত্রোক
সপ্তক শপতোক
সফর সফোর
সবিনয় শবিনয়
সবিশেষ শবিশেশ
সব্যাজ শব১জ
সব্যয় শবব১য়
সভাসদ শভাশদ
সমগ্র শমোগগ্রো
সমন্বয় শমোননয়
সমবাহু শমোবাহু
সমবেত শমোবেতো
সমভিব্যাহার শমোভিবব১হার
সমস্ত শমোসতো
সমাচ্ছন শমাচছোননো
সমীক্ষণ শোমিকখন
সমুচিত শমুচিত
সমুজ্জ্বল শমুজজল
সমুত্থান শমুতথান
সমুত্থিত শমুতথিতো
সমুন্নত শমুননতো
সমুৎকীর্ণ শমুতকিরনো
সমূল শমুল
সমৃদ্ধ শম্রিদধো
সমৃদ্ধি সমম্রিদধি
সম্পদ শমপদ
সম্পর্ক শমপরকো
সম্পূরিত শমপুরিতো
সম্পূর্ণ শমপুরনো
সম্পৃক্ত শমপ্রিকতো
সম্প্রতি শমপ্রোতি
সম্প্রদায় শমপ্রোদায়
সম্প্রীতি শমপ্রিতি
সম্ভবত শমভোবতো
সম্ভাবনা শমভাবোনা
সম্ভাষণ শমভাশন
সম্ভ্রান্ত শমভ্রানতো
সম্মত শমমোতো
সম্মিলিত শমমিলিতো
সর্বজনীন শরবোজোনিন
সর্বজ্ঞ শরবোগগো
সর্বশ্রেষ্ঠ শরবোসস্রেশঠো
সর্বসম্মত শরবোশমমতো
সর্বস্ব শরবোশশো
সসীম শশিম
সস্ত্রীক শসত্রিক
সস্পৃহ শসপ্রিহো
সহজ শহোজ
সহস্র শহোসস্রো
সহৃদয় শরিদয়
সাইকেল সাঁইকেল
সাইজ সাইজ
সাইজের সাইজের
সাতরান শাতরানো
সাধ্য শাদধো
সাধ্যাতীত শাধধাতিতো
সানন্দ শাননদো
সান্নিধ্য শাননিদধো
সাবজেক্ট সাব-জেক-ট-$
সাবজেক্টে সাবজেকটে
সাবধানে শাবধানে
সামনা শামনা
সামনেই শামনেই
সারেন্ডার সারেনডার
সার্কাসের সারকাসের
সার্কুলেশন সারকুলেশোন
সার্বভৌম শারবোভোউমো
সালাম সালাম
সালামত সালামত
সুখপাঠ্য শুখোপাটঠো
সুখ্যাতি শুকখ১তি
সুগঠিত শুগোঠিতো
সুচিস্মিতা শুচিশমিতা
সুতরাং শুতোরাঙ
সুতলি শুতলি
সুতীক্ষ্ণ শুতিখনো
সুদৃঢ় শুদ্রিঢ়ো
সুননত সুননত
সুফি সুফি
সুবচন শুবোচন
সুব্রত শুবব্রোতো
সুরত সুরত
সুস্থিত শুসথিতো
সুস্মিতা শুশমিতা
সুহৃৎ শুরিত
সুহ্রিদ সুরিদ
সেকশন সেকশোন
সেকেন্ড সেকেন-ড$
সেকেন্ডের সেকেনডের
সেক্টরে সেকটোরে
সেক্টরের সেকটোরের
সেক্রেটারি সেকরেটারি
সেটা শেটা
সেটাই শেটাই
সেনাধ্যক্ষ শেনাদধোকখো
সেন্টার সেনটার
সেন্টারটা সেনটারটা
সেফটিপিন সেফটিপিন
সেবক শেবক
সেভেন সেভেন
সৌরজগত শোউরোজগোত
স্কুল স-কুল$
স্কুলে স-কুলে$
স্কুলের স-কুলের$
স্কেল এসকেল
স্কোয়াড এসকোয়াড
স্ত্রী ইসত্রি
স্ত্রৈণ এস-ত্রোইনো$
স্নান সেনান
স্নায়বিক সেনায়োবিক
স্নিগ্ধ সিনিগধো
স্নেহ সেনেহো
স্পন্দন এসপনদোন
স্পিড ইসপিড
স্পৃষ্ট ইশপ্রিশটো
স্পেশাল এশপেশাল
স্প্রিংয়ের ইসপ্রিঙয়ের
স্বতঃ শতো
স্বতঃসিদ্ধ শতোশশিদধো
স্বরবর্ণ শরোবরনো
স্বস্তি শোসতি
স্বাগত শাগোতো
স্বাতন্ত্র্য শাতোনত্রো
স্মিত ইসমিতো
স্যার সার
স্যারকে সারকে
স্যারদের সারদের
স্যারের সারের
সড়ক শড়োক
সড়কের শড়োকের
হত হোতো
হর্ষ হরশো
হাত হাত
হাতটা হাতটা
হৃদ রিদ
হৃদপিণ্ড রিদপিনডো
হেমচন্দ্র হেমচনদ্রো
হ্রিমান রিমান
হয়েছে হোয়েছে
দরজার দরজার
ধরে ধোরে
গেছে গ১ছে
হাসান হাসান
এরকম এরোকম
হয়ে হোয়ে
আমরা আমরা
দেব দেবো
আলসে আলশে
আনবি আনবি
দেখতে দেখতে
সবসময় শবশোময়
আসবে আশবে
এখন অ১খোন
দরকার দরকার
আলোচনা আলোচোনা
সাধারন শাধারোন
সামনে শামনে
দেন দ১ন
হলো হোলো
হলেন হোলেন
হল হোলো
জানাল জানালো
রকম রকোম
পড়বি পোড়বি
একশতে অ১কশোতে
পাচ্ছিল পাচছিলো
কেন ক১নো
দেখতেই দ১খতেই
চলে চোলে
একজনের অ১ক-জনের$
স্টেনগানটি এশটেনগানটি
স্ট্রেচার এশ-ট-ট্রেচার$
স্ট্রেচারটা এশ-ট-ট্রেচার-টা$
এতক্ষণে অ১তো-খনে$
এখনই অ১খোনই
নেহি নেহি
এখনও অ১খোনও
বেশিক্ষণ বেশিখোন
যুদ্ধক্ষেত্রে জুদ-ধোখেত-ত্রে$
খানিকক্ষণ খানিক-খোন
হাসতে হাশতে 
দেখব দেখ-বো
খ্রিস্টপূর্ব খ্রিস্টো-পুর-বো$
দুঃখী দুক-খি$
ফর্সা ফর-শা$
স দন্-তো-শঅ$
ষ মুর-ধোন-নো-শঅ$
ঢ় ঢএশুন-নো-রঅ$
ঈ দির-ঘো-ই$
ঊ দির-ঘো-উ$
য অন-তস-থো-জঅ$
মরে মোরে
ক্লাস ক্লাস-$
ক্লাসে ক্লাসে-$
ক্লাসের ক্লাসের-$
পড়ল পোড়লো 
ফজলু ফোজ-লু$
ফজলুও ফোজ-লু-ও$
একেবারে এ১কেবারে
এক্কেবারে এ১ক-কে-বারে$
চলবে চোল-বে$
দেয় দ১য়
হয়ত হয়তো
হয়তো হয়তো
ফেলবেন ফেলবেন
সবগুলি শবগুলি
পড়বে পোড়বে
একটি একটি
হচ্ছে হোচ্ছে
হলে হোলে
দিল দিলো
বললাম বোললাম
হতে হো-তে$
মতামত মতা-মত$
অনিচ্ছা অনিচ-ছা$
দাঁত দাত
সরে শোরে 
মনটা মোন-টা$
মোনাজাত মোনাজাত
আঁচরানো আচরানো
বলেই বোলেই 
দুজনেই দু-জনেই$
আমড়া আম-ড়া$
দশটা দশটা
হলেও হোলেও 
সাধারণত শাধারনো-তো$
ঋ রি
া আ-কার$
ি ই-কার$
ী দির-ঘো-ই-কার$
ু উ-কার$
ূ দির-ঘো-উ-কার$
ৃ রি-কার$
ে এ-কার$
ৈ অই-কার$
ো ও-কার$
ৌ অউ-কার$
ণ মুর-ধোন-নো$
ৎ খন-ডো-তঅ$
হয়নি হয়নি
হব হবো
খামচাখামচি খামচাখামচি
দেবার দেবার
বলে বোলে 
সেটার শেটার
দুজনের দু-জনের$
দুজনে দু-জনে$
চারটা চারটা
সেভাবে শেভাবে 
হচ্ছিল হোচছিলো
হতো হোতো
বসে বোশে
দেখাল দ১খালো
বডি বডি
শুক্রবার শুকক্রোবার
সেটাতেও শেটাতেও
সোডা সোডা
সমালোচনা শমালোচোনা
অসুখ অশুখ
অসুবিধা অশুবিধা
এস এস
সি সি
হয়েছিল হোয়েছিলো
করেছিলাম কোরেছিলাম
পেপার পেপার
রাত রাত
জায়গায় জায়গায়
আড়চোখে আড়চোখে
আপনার আপ-নার$
আপনাকে আপ-নাকে$
হোমিওপ্যাথিক হোমিওপ-পেথিক$
হোমিওপ্যাথিকটা হোমিওপ-পেথিকটা$
আমরাও আমরাও
আজরফ আজরফ
সিট সিট
খসে খোসে 
পড়ে পোড়ে
পড়েছে পোড়েছে
বিপদের বিপঅ-দের$ 
ধরতে ধোর-তে$
রাত্রিবেলা রাত-ত্রি-ব১লা$
জানবি জানবি
আসতে আশতে
ভাত ভাত
আসব আশবো
সন্ধে শোনধে
চমকে চোমকে 
হাসলাম হাশলাম
স্লোগানগুলি স্লোগানগুলি
অনেকগুলি অনেকগুলি
দেশটার দেশটার 
উত্তর উত-তর$
পরিষদের পোরি-শদের$
সহযোগিতা শহো-জোগি-তা$
চলছে চোলছে
দেখছেন দেখছেন 
দেখেন দ১খেন
মন মোন
জুলফিকার জুলফিকার
জানতাম জান-তাম$
হকচকিয়ে হক-চোকিয়ে$
শুনিশনি শুনিশ-নি$
ইসলামী ইসলামি
দেখবি দেখবি
কাটল কাটলো
হতেই হোতেই
বলবেন বোলবেন
সেখান শেখান 
সেখানে শেখানে
সেখানেই শেখানেই
উত্তেজিত উত্তেজিতো
সেনাবাহিনী শেনাবাহিনি
মৃতদেহ ম্রিতো-দেহো
দেশটাকে দেশটাকে
কোনমতে কোনো-মতে$
ভয়াবহ ভয়া-বহো$
ঘটেছে ঘোটেছে
বিকেলবেলা বিকেলব১লা
সপ্তাহ শপ্তাহো
হয়েছিলো হোয়েছিলো
কমে কোমে
আলোচনার আলো-চনার$
দেয়নি দ১য়নি
টগবগে টগ-বগে$
জায়গা জায়গা
দিনদুপুরে দিন-দুপুরে$
দুর্বলভাবে দুর-বল-ভাবে$
একই এ১কি
এমনিতে এমনিতে
জীবনের জিবোনের
বাড়িঘরের বাড়ি-ঘরের$
খুশকি খুশকি
প্রার্থনা প্রার-থোনা$
ঘরবাড়ি ঘরবাড়ি
ধরলেন ধোরলেন
অন্যরকম ওন-নো-রকোম$
পরেছেন পোরেছেন
মনেই মোনেই
সঞ্জয় শন-জয়$
সঞ্জয়দা শন-জয়-দা$
করেও কোরেও
ভয়ঙ্কর ভয়োঙ-কর$
হলেই হোলেই
তত ততো
সন্দেহ শন-দেহো$
নানারকম নানা-রকম$
হলাম হোলাম
দুপুরবেলা দুপুরব১লা
দুপুরবেলায় দুপুরব১লায়
হাঁটতে হাট-তে$
সারারাত শারারাত
দেখেছ দেখেছো
সামলে শামলে
পজিশন পজিশন
নেবার নেবার
আরেক আর-এ১ক
কোনরকম কোনো-রকোম$
দিয়েছিল দিয়েছিলো
সকালবেলা শকালব১লা
বিকালবেলা বিকালব১লা
সন্ধাবেলা শনধাব১লা 
সন্ধ্যাবেলা শনধাব১লা 
দিনরাত দিনরাত
লিস্ট লিস-ট$
লিস্টটা লিস-টা$
পড়েছি পোড়েছি
আনবে আনবে
দিব দিবো
কয়েকজনের কয়েক-জনের$
অনেকক্ষণ অনেক-খোন$
দালালদের দালাল-দের$
অনেকদিন অনেক-দিন$
আশরফের আশ-রফের$
পেপারে পেপারে
ফিসফিস ফিশফিশ
সিক্রেট সিক-ক্রেট$
ট্রেঞ্চ ট্রেন-চ$
হয়েছিলাম হোয়েছিলাম
পড়েই পোড়েই
ধরেছে ধোরেছে
সহজে শহোজে
খাবনামা খাব-নামা$
বেতন বেতন
গেছেন গ১ছেন
পড়ছেন পোড়ছেন
সেজন্য শে-জোননো
আসবি আশ-বি$
আনব আন-বো$
করেই কোরেই
চশমাটা চশমাটা
ছাত্রদের ছাত-ত্রো-দের$
সাজগোজ শাজ-গোজ$
অফকোর্স অফ-কোর-স$
সামনের শাম-নের$
সেটাকে শেটাকে
অফিসের অফিসের
অফিসটা অফিস-টা
অফিস অফিস
বাক্সে বাকশে
বাক্সটা বাকশোটা
বাক্সটা বাকশোটার
আজরাইল আজরাইল
ধুকধুক ধুক-ধুক$
সামনি শাম-নি$
জিনিসগুলি জিনিশ-গুলি$
বিশ্বাসঘাতক বিশ-শাশ-ঘাতোক$
মীরজাফর মিরজাফোর
সবকিছু শবকিছু
বাক্সের বাকশের
বাক্স বাকশো
টেপ টেপ
বিশ্বাসঘাতকদের বিশ-শাশ-ঘাতোক-দের$
বিশ্বাসঘাতকতার বিশ-শাশ-ঘাতোকতার$
ট্রান্সলেশান ট্রান্স-লেশান$
দেখছিল দেখছিলো
রেকর্ডার রেকোরডার
রেকর্ড রেকোর-ড$
অন্যমনস্কভাবে ওন-নো-মনশ-কোভাবে$
আক্রমন আ-ক্রো-মোন$
দেশকে দেশকে
নেন ন১ন 
জাপটে জাপটে
ধরলাম ধোরলাম
ছাড়লাম ছাড়লাম
হাসল হাসলো
করাল করালো
গামছা গামছা
আবছা আবছা
ধড়মর ধড়-মর$
ধড়মড় ধড়-মড়$
হাইকমান্ডের হাই-কমান্ডের$
জানতে জান-তে$
ইনসার্ট ইন-সার্ট
কম্পিউটার কম-পিউ-টার$
টাস্ক টাস-ক$
চেক চেক
সহজভাবে সহোজভাবে
হাটবি হাট-বি$
হাঁটলে হাট-লে$
হাটলে হাট-লে$
হাঁটল হাটলো
হাটল হাটলো
হাঁটবি হাট-বি$
কপি কপি
স্পিকার স-পিকার$
স্পেস স-পেস$
স্পষ্ট স-পশ-টো$
মঙ্গল মোঙগোল
মঙ্গলদ্বীপ মোঙ-গোল-দিপ$
কনট্রোল কন-ট্রোল$
ওয়ার্ড ওয়ার-ড$
টেক্সট  টেক-স-ট$
অথবা অথোবা
স্পিকারের স-পিকা-রের$
অফিস অফিস
অফিসে অফিসে
কামড় কামোড়
কামড়ে কামড়ে
ঠেলত ঠেল-তো$
পিছনে পিছঅ-নে$
দুইজনের দুইজঅ-নের$
সিগারেট সিগারেট
টানছে টানছে
আসতেই আশতেই
হাঁটতে হাঁটতে
থমকে থোমকে
কোনোমতে কোনোমঅতে
বেকায়দায় বেকায়দায়
ঘষতে ঘোশতে
দেখলে দেখলে
চলেও চোলেও
দেখেনি দ১খেনি
জমে জোমে
দরদর দরদর
ধরেছিল ধোরেছিলো
ডেঞ্জারাস ডেন-জারাস$
দেশকে দেশকে
সাবধান শাবধান
কয়েকজনের কয়েক-জনের$
গামছা গামছা
অস্পষ্ট অসপশটো
বুঝ বুঝো
করেছ কোরেছো
নানারকম নানা-রকোম$
সবকিছু শবকিছু
যেসব জ়েশব
কোনোরকম কোনো-রকোম$
কোনোরকমে কোনো-রকোমে$
এলাকাটা এলাকাটা
হাতড়ে হাতড়ে
হারিক্যান হারিক১ন
হারিক্যানের হারি-ক১নের$
চশমা চশমা
তোমরা তোমরা
অবিশ্বাসের অবিশ-শাশের$
সেরকম শে-রকম$
জানলে জানলে
টানতে টানতে
উৎপাত উত-পাত$
বাক্সগুলি বাকশোগুলি
ক্রস ক্রঅস
প্র্যাকটিস প্র১ক-টিস$
লন্ড্রি লন-ড্রি$
জোঁককে জোক-কে$
দরকারের দরকারের
পাবলিক পাবলিক
জায়গার জায়-গার$
দোতলা দো-তলা$
কালোমতন কালো-মতোন$
দলটা দল-টা$
ভোরবেলা ভোরব১লা
আমতা আম-তা$
ঘষে ঘোশে
বসেছি বোশেছি
আসত আশতো
